text,confidence,category
В результате потерь кораблей и морской авиации в первый день войны не было вообще .,100.00%,3
"В России же традиционная институциональная среда разрушена , а новая не создана , и уже сам этот факт ставит под сомнение возможность передачи в таком обществе как традиционных , так и любых других норм .",100.00%,7
Так что встречались мы и расставались спокойно и радостно .,100.00%,1
"Нам выписали направление , и на этот раз Цики безоговорочно погнал таксиста в госпиталь .",100.00%,4
Эта истина фиксируется в документах ЮНЕСКО и Совета Европы .,99.99%,2
"Да , наверное , сегодня можно прийти в "" Газпром "" или "" Роснефть "" и попросить там дополнительный триллион рублей в виде дивидендов .",100.00%,2
"С тех пор я полюбил Крым и эту тропу , где я видел вас только мгновение и потерял навсегда .",100.00%,3
Первые такие устройства появились в начале 70-х годов и были размером с хороший чемодан .,99.99%,3
Глаз различал валявшиеся в беспорядке лейки и садовые инструменты .,100.00%,1
Я имею в виду Сибирское отделение и Новосибирский университет .,100.00%,3
Основной вывод из нашего теста - пора отправлять телевизоры на кухню и в спальню .,100.00%,3
"На последний юбилей Инны я принесла в качестве подарка давнюю фотографию дня рождения моей подруги - там все такие молодые , а я еще и беременная , поэтому очень толстая и совсем не Ренуар .",99.99%,6
"Оболочку Земли , в которой протекают биохимические процессы , он и предложил называть биосферой .",100.00%,3
"При такой технологии исходный раствор и органический _ , содержащий "" вещество - извлекатель "" , ничем не разделяются и в месте контакта перемешиваются .",99.99%,5
"Массовый характер приняли попытки , нередко успешные , получения бюджетных средств под "" исследования "" и "" изобретения "" без предварительной экспертной оценки ведущих российских и иностранных ученых , специалистов в данной области науки .",100.00%,7
"И не потому ли , кстати , самоорганизующееся интернет - сообщество остерегается признавать за ними лидерство , что ни в ком из них в отдельности и во всех вместе не находит олицетворения системной альтернативы ?",100.00%,7
"Говорят , что в исключительных случаях , раз в десять лет , зал может подарить герою и бычий хвост .",100.00%,4
Все это полностью обеспечивало потребность экипажа в воде и кислороде ( до 500 л в сутки на человека ) .,100.00%,2
"Любые топ-листы , номинации , рейтинги , хит-парады и т. п. придают всему включенному в них существенность и значимость .",99.99%,6
"Слово "" народ "" в этом утверждении может вызвать некоторые сомнения как слишком неопределенное и , быть может , более правильно и точнее с позиций социологии было бы вместо него сказать "" население "" .",100.00%,6
"Однако практика показывает , что при правильной работе не только на Западе , но и у нас может быть партнерство между работодателями и рабочими .",100.00%,5
Пример обратного - гигантские пробки на дорогах и очереди в общественном транспорте в Москве после неподготовленного введения электронных пропусков .,100.00%,4
"Я специально сравнивал русские и польские тексты - в некоторых местах переводчики ошибались , потому что не могли себе представить , что по-польски это слово значит не то же самое , что _ по-русски .",100.00%,5
"Российский теплоход "" Вадим Попов "" , протараненный в среду китайским сухогрузом "" Танья "" , в настоящее время находится на ремонте в Пусане .",100.00%,4
"Среди этих ходатайств были и личные , и групповые .",100.00%,2
"Следует сказать , что сегодня во всем мире наблюдается обратная картина - систематическое и устойчивое увеличение процентного участия женщин в сфере производства и науки .",100.00%,7
"На Сицилию смотрели не как на конечную цель войны , а как на отправной пункт для нападения на Карфаген , для захвата Африки и моря вплоть до Геракловых столпов .",100.00%,5
Так бывшего старосту нашли за работой в риге сына - там же и расстреляли .,100.00%,3
"В XXI столетии итальянская и российская общественность , несомненно , заинтересованы друг в друге , хотя при этом существуют коренные различия в их ценностных ориентирах и глубинных культурных кодах .",100.00%,7
"Быть наедине и хочется , и _ _ страшно .",100.00%,1
"Наутро , как всегда , пришел в институт к 9 : и узнал , что наконец - то получено разрешение на допуск в НЭК .",100.00%,5
"Каждый день в СМИ - в первую очередь в интернете - появляются сообщения о неполитических акциях обманутых дольщиков , автомобилистов , экологов , противников уплотнительной застройки и т. п .",100.00%,7
Я отправляюсь на прогулку и дохожу до самого виноградника .,100.00%,2
"Поэтому необходимо найти вариант политики , который обеспечивает и экономический рост и в то же время не увеличивает инфляцию .",100.00%,5
"Гражданин , имя которого не называется , попытался в одном нижнем белье пройти в здание посольства США в Москве .",100.00%,4
Мой товарищ отнесся к ситуации с пониманием и сочувствием .,100.00%,1
"Их пять : три бензиновых ( 177 , 224 и 306 л. с. ) и два турбодизеля ( 155 и 177 л. с. ) .",100.00%,5
"Тут уж , извините , одинаковая нужда и в сантехниках , и в министрах .",100.00%,4
Не отрицают они и возможности участия в муниципальных выборах .,100.00%,2
"Смысл не в том , чтобы высушить рыбу жаром углей , ее нужно пропечь и чтобы она получилась сочной .",100.00%,3
"Как правило , это ориентировано и на внешние рынки .",100.00%,2
"Когда в нем происходят столкновения , крупные тела разрушаются , их фрагменты постепенно мигрируют в центральную часть Солнечной системы и падают на Землю , на Луну и , вероятно , на Венеру и Меркурий .",99.99%,7
"Именно эти его способности и легли в основу созданной в Советском Союзе системы бионического кодирования телесигналов , которая позволяет без потери качества снижать цифровой поток почти в 7 раз !",100.00%,5
Их изображения встречались на гадальных картах и старинных гравюрах .,100.00%,1
"Образ страны необходимо учитывать и в анализе взаимных репрезентаций с позиции коллективного "" Я "" , сопоставляемого ( или противопоставляемого ) образу "" Другого "" в двусторонних отношениях стран .",100.00%,6
"Выйдешь по траншее на восточный склон высоты , а дальше можно идти в полный рост , и кажется , что ты идешь в увольнение .",99.99%,6
"Боюсь , что и никого другого не спросят тоже .",100.00%,2
"Что сделать , дабы жизнь не превратилась в выживание ?",100.00%,2
"Они и потерь меньше несут , и воюют лучше .",100.00%,2
"Ты слышал , что террористы отрубают головы пленникам в Мосуле на мостах через Тигр и бросают тела в реку ?",99.99%,5
С ознакомительным визитом в понедельник в Хабаровск прибыла делегация посольства Индии в России во главе с послом Кришнаном Рагхунатхом .,100.00%,3
Однако и у богатых не все так уж благополучно .,100.00%,2
"Единый учебник подразумевает один взгляд на все прошлое России , начиная с Рюрика и кончая советским и послесоветским временем .",100.00%,7
"В минувшую среду Государственная дума проголосовала в третьем , окончательном чтении за закон "" Об основах федеральной жилищной политики "" , поставив точку в бурных дебатах о стопроцентной оплате жилья и коммунальных услуг населением .",100.00%,6
Бесконечные чаепития на рабочем месте и ленивая симуляция деятельности .,100.00%,1
"Это значит , что его вырастили атомарно гладко и дальше отпустили в свободное плавание .",100.00%,5
"Когда я встречал взрослого , который казался мне разумней и понятливей других , я показывал ему свой рисунок № 1 - я его сохранил и всегда носил с собою .",100.00%,7
"Например , нас всех собрали в актовом зале и велели подвергнуть остракизму сценариста Володарского за то , что тот в пьяном виде избил дружинника .",100.00%,5
Однако на обратном пути они попали в снежную бурю .,100.00%,1
Он снова ввязался в боевые действия - на территории Либерии и в соседней Сьерра-Леоне .,100.00%,3
Да и насладиться своими богатствами полноценно вы не можете .,100.00%,2
"Алла Тарасова родилась и окончила университет в Москве , филолог , профессор , много лет преподавала в университетах США .",100.00%,3
"И здесь наблюдаются и подмена понятий , и прямые фальсификации , вплоть до завышения числа погибших в несколько раз .",100.00%,4
Наш фонд ведет просветительскую работу и в этом направлении .,100.00%,2
"Она отлично защищает и глаза наблюдателя , и телескоп , практически не искажая изображения .",100.00%,4
"Прогноз одного из крупнейших валютных спекулянтов в мире - банка UBS : $ 1,15 в конце этого года и $ 1,1 в середине следующего .",100.00%,5
"Однако в книге "" Дорога в Австралию "" , где Кабо подробно описывает начало и завершение своей службы в армии , никаких упоминаний о нахождении под арестом и суде над ним Военного трибунала нет .",100.00%,5
"Так как в таком паровозе процесс вполне "" взрослый "" , он снабжен всеми необходимыми и полноразмерному паровозу приборами : манометром , указателем уровня воды в котле и термометром .",100.00%,7
"Никто не знает , во-первых , у кого не выдержат нервы и , во-вторых , в какой именно форме .",100.00%,5
"Автор сам бывший шахтер и очень хорошо описывает , как шахтеры в наше время свет увидели и шахта перестала быть для них преисподней , а прежде именно преисподней была .",100.00%,7
"Оказалось , что и учат в зарубежных школах тому , чему мы не учим - вероятностью и статистикой увлекаются , и акценты у них другие - все больше прикладные .",100.00%,7
"Бывали даже случаи , когда в половине шестого зимой выстраивали шеренгу новобранцев на плацу и говорили им , что не пустят в казармы того , кто не подпишет контракт .",100.00%,5
"Беседа руководителя КНДР и южнокорейского дипломата прошла в "" теплой и дружественной обстановке "" , отмечается в сообщении агентства .",100.00%,3
"Постепенно модернизируясь и совершенствуясь особенно в последнее время , эта идеология господствует и сейчас .",100.00%,6
"Как сообщили в Управлении государственной противопожарной службы ГУВД Санкт-Петербурга и Ленинградской области , сигнал о возгорании поступил на пульт дежурного в 22 : 37 , передает "" Интерфакс "" .",100.00%,5
"Человек , потерпевший кораблекрушение и затерянный на плоту посреди океана , - и тот был бы не так одинок .",100.00%,4
"С другой стороны , захват Крыма и "" подвешенная "" нестабильность на юго-востоке Украины устраняют угрозу возникновения в Севастополе базы НАТО и делают малореальным в ближайшей перспективе вхождение Украины в европейские и североатлантические структуры .",100.00%,7
"Вот я и подошла к кукольному трюмо в лилиях и наядах , присела и при свете коптилки присмотрелась к ничтожной себе : лысая , в мамкой сшитой ситцевой телогрейке .",100.00%,7
"С конца августа 1941 года в соответствии с договорённостью правительств Великобритании и СССР начинаются взаимные военные поставки через советские северные порты , после чего значительная часть немецких подводных лодок начинает действовать в Северной Атлантике .",99.99%,5
Между тем сквозил в них и несомненный мифоборческий оттенок .,100.00%,3
"Тогда и отечественный бизнес станет больше вкладываться в свою страну , и зарубежные инвесторы будут активнее в наших проектах .",100.00%,3
"Говоря о ситуации в мире , он подчеркнул , что речь идет не просто о санкциях и давлении на Россию , которые лишь подтверждают масштабный сбой в мировой политике .",100.00%,6
"Потом постоялец выскочил из комнаты , сорвался с лестницы и переломал себе кости , так и не сумев рассказать , что с ним случилось .",100.00%,5
"Особенно большие трудности повышение тарифов принесет малому и среднему бизнесу , которые и так находятся в очень сложном положении .",100.00%,3
"При этом фосфина в атмосфере планет - гигантов нашли в сотни , если не в тысячу раз больше , чем сейчас обнаружено на Венере .",100.00%,6
Потому что одно дело посидеть пару часов в собственной лавочке и совсем другое - выметать в праздники чужой дом .,100.00%,3
"И если к вам подойдет маленький мальчик с золотыми волосами , если он будет звонко смеяться и ничего не ответит на ваши вопросы , вы , уж конечно , догадаетесь , кто он такой .",100.00%,7
"Проблема национального языка продолжает существовать в атмосфере неготовности нашего сознания к ее радикальному разрешению , хотя последнее так просто и естественно в условиях демократизации .",100.00%,5
В тылу и на фронте кормят в трое суток один раз и не досыта .,100.00%,2
"Почти каждый день я встречаю почтенную 80-летнюю баронессу с идеально уложенными волосами и в белом пальто , безупречно воспитанную , в отличие от ее черной тявкающей собачонки ( тут собакам лаять не полагается ) .",100.00%,7
"Танки в пшенице зашевелились , лязгая , стреляя огнем , двинулись на людей , лежавших с автоматами в ямах , в воронках от снарядов .",100.00%,5
"Таким образом , деньги родственников террориста номер один в мире помогли военным США бороться против режима талибов в Афганистане и армии Хусейна в Ираке .",100.00%,5
Я не верю в кровавую революцию снизу в России .,100.00%,3
Поставил стакан перед собой и продолжал рассказывать и расспрашивать .,100.00%,2
Об этом сообщил в среду афганский дипломат в Душанбе .,100.00%,1
"Бывало , и не возвращались на ночь : то бомбежки , то обстрелы , то просто ноги не идут .",100.00%,4
"Ни в какие школы юных фотомоделей в массе своей они не ходят , а бегают , прыгают , играют в песочницах , но практически никогда не играют в войну .",100.00%,5
Мы вообще много чего не знали и не пробовали .,100.00%,1
"Дверь в столовую открылась и на пороге появилась Светочка - молодой лаборант , девочка с внешностью школьницы - отличницы , в аккуратных очочках и с бланком анализа в руке .",100.00%,7
"Благодаря этому обстоятельству , а также учитывая тот факт , что к физическому труду парень не годен , отец устроил его в управление сначала сторожем , а потом он вырос и до помощника писаря .",100.00%,7
"Более того - топирамат попутно замедляет образование в головном мозге и других активирующих медиаторов , например норадреналина и серотонина .",100.00%,6
"Я не один год их знаю , и если до сих пор ничего не писал про Ермолино , то только чтобы не навлечь громы и молнии со стороны РПЦ .",100.00%,7
Он преподавал химию и в других петербургских учебных заведениях .,100.00%,2
"И , наконец , в случае "" Фукусимы "" катастрофу вызвал просчет в расположении резервных генераторов и линий электропередач .",100.00%,5
"Такие цели проставлены в Концепции социально-экономического развития страны до 2020 года , рассмотренной в пятницу на совещании в правительстве .",100.00%,4
"Многие деревья так и замерзали , не успев пожелтеть .",100.00%,2
"И не признавать ее - значит одновременно обеднять и свой народ , ограничивать ему доступ к достижениям отечественной и мировой культуры , науки , техники , затруднять сотрудничество республик и общение граждан разных национальностей .",100.00%,7
Все службы безопасности Австралии приведены в состояние повышенной готовности в связи с поступившей информацией о возможной террористической угрозе интересам США или Великобритании в стране .,100.00%,7
"Утром он поднялся с головной болью и , не позавтракав , поехал на работу .",100.00%,3
"В Австрийской империи свободные крестьяне проживали в той части государства , которая была населена немцами ( Верхняя и Нижняя Австрия , Штирия , Каринтия , Тироль ) и итальянцами ( Ломбардия , Венеция ) .",100.00%,5
"Ставил ее на ноги , но ноги были согнуты в коленях и не разгибались .",100.00%,3
"Переход располагается в толще бикристалла , способного противостоять и высоким давлениям , и ударам .",100.00%,4
"Развертывание производства в космосе не только перспективный , но и неизбежный путь индустриального прогресса .",100.00%,3
"Сила нашей позиции в ее последовательности ; - но втягиваться в конфронтацию для нас было бы контрпродуктивно , а если откат в отношениях с Западом все же произойдет , то не по нашей вине ;",99.99%,6
Первым массированным налётом на объекты в глубине Германии стал двойной рейд на Швайнфурт и Регенсбург 17 августа 1943 года .,100.00%,3
Хотя бы в память о Людмиле Алексеевой и в напоминание о ее последней просьбе .,100.00%,3
"Кроме того , художественная литература , как и другие виды искусства , объединяет авторские ( включая и анонимные ) произведения в отличие от принципиально не имеющих автора произведений фольклора .",100.00%,5
"Однако сами вузы заинтересованы не только в богатых , но и в одаренных студентах .",100.00%,3
"Потом исследователи догадались совместить два полупроводника разных типов , в результате чего на свет появились диоды , транзисторы и микропроцессоры , а мы оказались по уши в электронном веке .",100.00%,6
"Согласно некоторым СМИ Турции , минобороны США отправило в свои воинские подразделения в Турции депешу , предписывающую эвакуацию из страны жен и детей военнослужащих , а также принятие дополнительных мер безопасности на военных объектах .",100.00%,6
Связь с комбатами и с огневыми позициями не прерывалась .,100.00%,2
"Сам характер грузинской революции обуславливался в том числе и национальным проектом , в соответствии с которым в планы новой грузинской власти уже не входила традиция деления власти с Москвой .",100.00%,7
"С другой стороны , избиратели , голосовавшие за Медведева , спокойно переносят унижение своего избранника , что можно рассматривать и как дополнительное унижение , и как проявление отношения избирателей к выборам и своим голосам .",100.00%,6
"Этот тюк два дня лежал в коридоре , прикрытый рогожей , а позавчера хозяйка попросила убрать его с глаз долой и отнести в старый курятник , находящийся за сараем .",100.00%,7
"Советских людей не может не беспокоить тот факт , что за последнее время возникают нетерпимость , трения , а то и конфликты на межнациональной основе , происходит нагнетание такого рода противоречий в прибалтийских республиках .",100.00%,7
"Никакой геометрии в этом устройстве не было , и московские улицы формировались как пути от одной усадьбы к другой .",100.00%,4
Агент МИ6 работал паспортистом в посольстве Великобритании в Берлине .,100.00%,3
"И вот в ноябре 1971 года в Грузии была открыта новая транспортная линия , в которой контейнеры со стройматериалами - галькой и щебнем - двигались , подталкиваемые лишь силой ветра , дующего в трубе .",100.00%,7
"Немцы , захватив город , расстреляли и повесили коммунистов , евреев собрали в гетто , и началась повседневная жизнь .",100.00%,5
"После его окончания он получил золотую медаль за диссертацию на степень доктора медицины "" Изучение химического состава и лечебного действия минеральных вод России "" ( написана и издана на латыни в 1825 году ) .",100.00%,5
"Может быть , еще и поэтому я захотела отвечать сама за себя и параллельно с мультфильмами стала писать рассказы .",100.00%,4
"Оказалось , что есть известный специалист с русским именем Вадим Макаров , который сейчас работает в Канаде и достиг в своем деле больших успехов .",100.00%,3
"Мы уже сейчас тратим на пенсии в процентах к ВВП столько же , сколько _ развитые страны с более пожилым населением , при этом у нас высокие страховые взносы и не очень высокие пенсии .",100.00%,7
"Помню , как прямо в спортивном костюме я поехал домой , и на улице почему-то все на меня оглядывались .",100.00%,5
"Из мира подданных , государственно полезных и бесполезных , должных и обязанных , все переселились в мир свободных индивидуумов , с приоритетом прав человека над "" интересами государства "" .",100.00%,7
"На сегодняшний день сфера образования в России имеет не более 4,5 % ВВП , в то время как в развитых странах на нее приходится 7 - 8 % ВВП .",100.00%,4
Большое место в книге занимает анализ финансово - экономических последствий ограбления евреев в оккупированных и зависимых от немцев странах .,100.00%,3
"Этих денег я ей так и не вернула , потому что вскоре она умерла .",100.00%,4
"Впрочем , загрузили дополнительно и основательно не только детей .",99.99%,3
Демократическим странам еще предстоит найти ответ на вопрос о рациональном соотношении толерантности и приоритета прав человека и защиты интересов основного населения на рынке труда .,100.00%,7
"Когда выпадет снег и гимназистки будут румяные , от мороза чуть пьяные , он приедет с войны чуть изменившийся и обнимет почти сразу , после того как сбросит Фросе на руки башлык и шинель .",100.00%,7
В политико - военных и военно - стратегических прогнозах и планах США учитывают нередко в совокупности наши два государства .,100.00%,7
"В реальности материальные институты и культурные традиции находятся в нерасчлененном единстве , поэтому современные институциональные теории рассматривают идеальные нормы , "" правила игры "" в качестве такого же института , как и социальные организации .",100.00%,7
Так все-таки вы не исключаете активизации патриотизма на фоне Украины как двигателя окончательного укрепления Путиным своего рейтинга и обеспечения проблемы своего избрания в 2018-м на окончательно зачищенной политической площадке ?,100.00%,7
"Он задумался , чуть перекосив худенькое лицо , и даже перестал выдергивать цветы и травинки , в его коричневых глазах появилась боль - так трудно вложить в чужую душу самые простые и очевидные истины !",100.00%,6
"Как и на прошлом судебном процессе , следствие и суд попытаются сыграть на религиозном возрождении в стране , на благожелательном отношении общества к церкви .",100.00%,6
На этом обсуждении минфиновцы требовали ни в коем случае не отходить от утвержденного ранее бюджетного правила - то есть не увеличивать инвестиции в экономику и надеяться на ее самоисцеление .,100.00%,4
"У нас в течение 90-х годов эта сфера тоже неуклонно росла , увеличившись с 33 % в 1990 году до 54 % в 2004-м .",100.00%,5
"На беду тонкими ценителями семечек были и сороки , и воробьи , и синицы .",100.00%,2
"Электричества , разумеется , не было и в помине .",100.00%,2
"Острая конкуренция в борьбе за доступ в "" социальный лифт "" - это и нормальное , и ожидаемое явление .",100.00%,4
Я не верю в кровавый террор сверху в России .,100.00%,2
"У нее было много предположений , которыми время от времени она со мной делилась : "" Папа попал в плен и пошел в партизаны .",100.00%,6
Что интересно - нет никаких разногласий и в политике .,100.00%,2
"Скажем , в таких экономиках , как американская и европейская , государство на 50 процентов финансирует расходы на науку .",100.00%,4
"О первой он упоминает однажды и мимоходом как об известном , само собой разумеющемся и отнюдь не решающем факторе , второй же квалифицирует как проводимый "" пунктиром на периферии ( немецкого ) общества "" .",100.00%,7
"Не получилось , и Ельцина стали топтать ногами с той же страстью , с какой еще недавно потрясали его портретами на митингах и демонстрациях .",100.00%,6
"Однако в российском законодательстве нет положения об этом звании , хотя в нашей стране есть немало городов и селений , где в годы Великой Отечественной войны 1941 - 1945 годов шли длительные кровопролитные сражения .",99.99%,7
"Как подчеркнул Волин , формирование такого рода консорциума инвесторов в пользу той или иной команды , претендующей на вещание на шестом телеканале , это дело самих предпринимателей и журналистов .",100.00%,7
"Он рискнул всем - и карьерой , и здоровьем .",100.00%,2
"Оба устройства нашли применение в НИИ нейрохирургии и в службе "" Скорой помощи "" .",100.00%,5
В следующем послании Онищенко постарается учесть проколы и на агентурные данные уже не ссылается : анализ и только анализ .,100.00%,6
"В этом заключались его и сила , и слабость .",100.00%,2
"Да , оно сокращается , в том числе в связи с урезанием социальных программ .",100.00%,4
"Секретарь партийного комитета завода "" Салют "" А. Г. Самаркин проявил беспринципность и угодничество , не пресекал нарушения партийной и государственной дисциплины , пьянство и корыстные злоупотребления руководителей предприятия .",100.00%,7
"Министр по чрезвычайным ситуациям России Сергей Шойгу в среду вылетает в Краснодарский край , чтобы на месте оценить ситуацию с паводками и определить меры по защите населения от стихии .",100.00%,4
"Тут он вспоминал что-то новое , бледнел от ужаса и начинал заговариваться и забываться .",100.00%,5
"С тех пор труднопреодолимые и , в общем , малоприятные обстоятельства в моем сознании прочно связались с подземным миром .",100.00%,6
Мне дали третью группу инвалидности и выпустили в жизнь .,100.00%,2
"Там - работы художников , родившихся и получивших образование в бывших владениях Британии ; если чисто эстетски говорить о "" наследии "" колониализма , представленное в шестом разделе , - самое лучшее из возможных .",100.00%,5
"Во-вторых , надо реально вывести с Восточной Украины всех этих "" отпускников "" и то , на чем они "" в отпуск "" ездят .",99.99%,7
"Воспользовавшись этим , 9 декабря 1940 года английские войска переходят в наступление в Египте , в январе занимают всю Киренаику и к февралю 1941 года выходят в район Эль-Агейла .",100.00%,7
Три дня и три ночи Гарусов прожил в изоляторе .,100.00%,1
"Мало того , они не просто летают вдоль строгих линий , но уходят в землю и выходят из нее !",100.00%,4
"Когда в кислом растворе накопится около 0,5 г урана на литр , его перекачают на берег и подвергнут переработке .",100.00%,3
"Лишая депутатов и чиновников возможности иметь зарубежные счета и недвижимость , он возвращает советскую ситуацию , тесно привязывая их к себе и выводя из-под "" тлетворного "" западного влияния .",100.00%,7
"Глав законодательных собраний регионов , по его словам , познакомят с работой нижней палаты , в частности , законопроектами , которые будут обсуждаться в ходе весенней сессии в Госдуме .",100.00%,7
"Модель паровой машины и ракетный двигатель , наглядные пособия по конструированию машин и адаптивный мобильный робот - сапер , узлы самолета времен Великой отечественной войны и шлем пилота с устройством ночного видения последнего поколения .",100.00%,7
Не красть туалетную бумагу в учреждениях и междугородных поездах .,100.00%,2
Однако не их число и не величина территории определяют место страны и ее влияние .,100.00%,3
"На выборах в рейхстаг в марте 1933 года коммунисты получили 81 мандат , но не были допущены на заседания .",100.00%,3
"Скажем , в Татарии одно представление о татаро - монгольском иге и о присоединении Казани и Астрахани к Москве , а в Москве другое .",100.00%,4
"Он выступит на конференции "" Экономика знаний и интеллекта .",100.00%,1
